ID;Startzeit;Fertigstellungszeit;E-Mail;Name;Zeitpunkt der letzten Änderung;Geschlecht:;Alter:;Wie oft träumst du pro Woche?;Glaubst du, dass Träume eine besondere Bedeutung oder Botschaft haben?;Hast du jemals versucht, deine Träume zu deuten oder zu analysieren?;Weisst du was eine Ausserkörperliche Erfahrung ist?;Welche Art von Träumen hast du in der Regel am meisten?;Erinnerst du dich oft an deine Träume?;Hattest du schon wiederkehrende Träume?;Hast du jemals versucht, Träume aufzuschreiben oder zu zeichnen?;Wie oft träumst du pro Jahr? (Tippe eine ungefähre Schätzung in Zahlen ein);Träumst du grundsätzlich gerne?
1;10.17.23 11:09:17;10.17.23 11:10:10;anonymous;;;Weiblich;25-34 Jahre;Mehrmals pro Woche;Teilweise;Ja;Ja;Freudeträume;Meistens;Ja;Nein;100;Teilweise
2;10.17.23 11:09:29;10.17.23 11:10:15;anonymous;;;Männlich;18-24 Jahre; Einmal pro Woche;Teilweise;Nein;Nein;Freudeträume; Selten;Nein;Nein;55;Nein
3;10.17.23 11:10:04;10.17.23 11:11:02;anonymous;;;Weiblich;25-34 Jahre;Ich erinnere mich nicht an meine Träume;Ja;Ja;Nein;Klarträume (Träume, in denen du weisst, dass du träumst);Manchmal;Ja;Nein;4;Ja
4;10.17.23 11:10:52;10.17.23 11:12:12;anonymous;;;Männlich;25-34 Jahre; Einmal pro Woche;Ja;Ja;Nein;Klarträume (Träume, in denen du weisst, dass du träumst);Manchmal;Ja;Ja;40;Ja
5;10.17.23 11:13:59;10.17.23 11:15:20;anonymous;;;Weiblich;25-34 Jahre;Mehrmals pro Woche;Nein;Ja;Nein;Alpträume;Manchmal;Ja;Ja;150;Nein
6;10.17.23 11:15:06;10.17.23 11:15:46;anonymous;;;Weiblich;18-24 Jahre;Ich erinnere mich nicht an meine Träume;Teilweise;Ja;Nein;Klarträume (Träume, in denen du weisst, dass du träumst);Manchmal;Nein;Nein;2;Teilweise
7;10.17.23 11:19:44;10.17.23 11:20:50;anonymous;;;Weiblich;25-34 Jahre;Seltener;Ja;Ja;Ja;Klarträume (Träume, in denen du weisst, dass du träumst);Manchmal;Ja;Ja;14;Teilweise
8;10.17.23 11:39:24;10.17.23 11:40:41;anonymous;;;Weiblich;35-44 Jahre;Seltener;Teilweise;Ja;Ja;Alpträume;Manchmal;Ja;Ja;23;Teilweise
9;10.17.23 12:03:03;10.17.23 12:04:04;anonymous;;;Männlich;25-34 Jahre;Ich erinnere mich nicht an meine Träume;Ja;Ja;Nein;Angstträume; Selten;Ja;Nein;3;Teilweise
10;10.17.23 12:06:47;10.17.23 12:08:08;anonymous;;;Männlich;18-24 Jahre;Mehrmals pro Woche;Teilweise;Ja;Ja;Freudeträume;Meistens;Ja;Ja;123;Ja
11;10.17.23 13:19:52;10.17.23 13:21:05;anonymous;;;Weiblich;18-24 Jahre;Seltener;Teilweise;Ja;Nein;Angstträume; Selten;Ja;Nein;21;Ja
12;10.17.23 13:40:25;10.17.23 13:41:37;anonymous;;;Männlich;25-34 Jahre;Mehrmals pro Woche;Ja;Ja;Nein;Alpträume;Manchmal;Ja;Ja;142;Teilweise
13;10.17.23 13:43:24;10.17.23 13:44:17;anonymous;;;Weiblich;18-24 Jahre; Einmal pro Woche;Teilweise;Ja;Nein;Klarträume (Träume, in denen du weisst, dass du träumst);Meistens;Nein;Nein;49;Ja
14;10.17.23 13:53:52;10.17.23 13:56:19;anonymous;;;Weiblich;25-34 Jahre; Einmal pro Woche;Nein;Nein;Ja;Alpträume;Manchmal;Ja;Nein;33;Nein
15;10.17.23 16:10:54;10.17.23 16:11:35;anonymous;;;Weiblich;25-34 Jahre;Täglich;Ja;Ja;Nein;Angstträume;Meistens;Ja;Ja;300;Nein
16;10.17.23 17:09:53;10.17.23 17:10:41;anonymous;;;Männlich;18-24 Jahre;Ich erinnere mich nicht an meine Träume;Nein;Nein;Ja;Angstträume; Selten;Ja;Ja;1;Teilweise
17;10.17.23 18:38:45;10.17.23 18:39:28;anonymous;;;Männlich;25-34 Jahre;Ich erinnere mich nicht an meine Träume;Nein;Nein;Nein;Alpträume; Selten;Ja;Nein;3;Nein
18;10.18.23 13:50:41;10.18.23 13:51:23;anonymous;;;Weiblich;18-24 Jahre;Mehrmals pro Woche;Teilweise;Ja;Ja;Klarträume (Träume, in denen du weisst, dass du träumst);Meistens;Ja;Ja;80;Teilweise
19;10.18.23 16:31:11;10.18.23 16:32:14;anonymous;;;Weiblich;18-24 Jahre;Mehrmals pro Woche;Teilweise;Ja;Ja;Freudeträume;Manchmal;Ja;Nein;75;Ja
